id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,xy_goal_tol,des_lin_vel,stop_flag,skip_flag,gps_pose_enable,map_pose_enable,init_pose_pub
0,0.048599306493997574,0.012149942107498646,0.0,0.0,0.0,-0.0048093353553681955,0.9999884350798461,2.0,0.4,0,1,0,1,0
1,2.3813624382019043,-0.06075859069824219,0.0,0.0,0.0,0.6660767745799142,0.7458831881502748,2.0,0.4,0,1,0,1,0
2,2.843061685562134,1.7374120950698853,0.0,0.0,0.0,0.794388381316907,0.6074101576601302,2.0,0.4,0,1,0,1,0
3,1.60378897190094,3.948681592941284,0.0,0.0,0.0,0.9777952752806686,0.20956240034605844,2.0,0.4,0,1,0,1,0
4,-0.4859754145145416,4.653378486633301,0.0,0.0,0.0,-0.9663314723800858,0.25730037988261006,2.0,0.4,0,1,0,1,0
5,-2.5271480083465576,3.365506649017334,0.0,0.0,0.0,-0.8182136517215594,0.5749142719888513,2.0,0.4,0,1,0,1,0
6,-2.624359130859375,-0.060740094631910324,0.0,0.0,0.0,-0.7171343771416612,0.6969349217262985,2.0,0.4,0,1,0,1,0
7,-2.5757715702056885,-3.3654868602752686,0.0,0.0,0.0,-0.3949990120312853,0.91868154465751,2.0,0.4,0,1,0,1,0
8,-0.5589084029197693,-4.799172878265381,0.0,0.0,0.0,0.0916804796314416,0.995788476361596,2.0,0.4,0,1,0,1,0
9,2.478550910949707,-2.782315969467163,0.0,0.0,0.0,0.6394174889854595,0.7688597237334843,2.0,0.4,0,1,0,1,0
10,1.6280722618103027,-0.5710462331771851,0.0,0.0,0.0,0.8460566729243142,0.5330929620621906,2.0,0.4,0,1,0,1,0
11,0.1943996101617813,0.6925382614135742,0.0,0.0,0.0,0.8564377025855301,0.5162503865277189,2.0,0.4,0,1,0,1,0
12,-0.5588801503181458,2.830907106399536,0.0,0.0,0.0,0.8398896981803438,0.5427571232978257,2.0,0.4,0,1,0,1,0
13,-1.3850593566894531,5.212272644042969,0.0,0.0,0.0,-0.9925077906746315,0.12218136294117014,2.0,0.4,0,1,0,1,0
14,-3.0860342979431152,4.531890392303467,0.0,0.0,0.0,-0.7326145933171253,0.6806437083076454,2.0,0.4,0,1,0,1,0
